# Automated Sine Wave Measurement
# Timestamp,2025-12-11 15:28:40
# Frequency (Hz),5000
# Amplitude Set (Vpp),3.0
# VPP Measured (V),5.080000
# Vmax (V),2.532800
# Vmin (V),-2.547200
# VRMS (V),1.652961

Time (s),Voltage (V)
0.000000700,0.012800
0.000000800,-0.027200
0.000000900,0.052800
0.000001000,-0.027200
0.000001100,0.092800
0.000001200,0.012800
0.000001300,0.092800
0.000001400,0.052800
0.000001500,0.132800
0.000001600,0.092800
0.000001700,0.172800
0.000001800,0.092800
0.000001900,0.212800
0.000002000,0.212800
0.000002100,0.132800
0.000002200,0.172800
0.000002300,0.252800
0.000002400,0.212800
0.000002500,0.292800
0.000002600,0.212800
0.000002700,0.332800
0.000002800,0.332800
0.000002900,0.252800
0.000003000,0.292800
0.000003100,0.372800
0.000003200,0.332800
0.000003300,0.412800
0.000003400,0.332800
0.000003500,0.452800
0.000003600,0.412800
0.000003700,0.492800
0.000003800,0.452800
0.000003900,0.532800
0.000004000,0.452800
0.000004100,0.572800
0.000004200,0.492800
0.000004300,0.572800
0.000004400,0.532800
0.000004500,0.612800
0.000004600,0.532800
0.000004700,0.652800
0.000004800,0.612800
0.000004900,0.692800
0.000005000,0.612800
0.000005100,0.692800
0.000005200,0.652800
0.000005300,0.732800
0.000005400,0.692800
0.000005500,0.772800
0.000005600,0.772800
0.000005700,0.692800
0.000005800,0.732800
0.000005900,0.812800
0.000006000,0.772800
0.000006100,0.852800
0.000006200,0.772800
0.000006300,0.892800
0.000006400,0.812800
0.000006500,0.892800
0.000006600,0.852800
0.000006700,0.932800
0.000006800,0.852800
0.000006900,0.972800
0.000007000,0.972800
0.000007100,0.892800
0.000007200,0.932800
0.000007300,1.012800
0.000007400,0.972800
0.000007500,1.052800
0.000007600,0.972800
0.000007700,1.092800
0.000007800,1.012800
0.000007900,1.092800
0.000008000,1.052800
0.000008100,1.132800
0.000008200,1.132800
0.000008300,1.052800
0.000008400,1.172800
0.000008500,1.092800
0.000008600,1.132800
0.000008700,1.212800
0.000008800,1.172800
0.000008900,1.252800
0.000009000,1.212800
0.000009100,1.292800
0.000009200,1.212800
0.000009300,1.332800
0.000009400,1.252800
0.000009500,1.332800
0.000009600,1.292800
0.000009700,1.372800
0.000009800,1.372800
0.000009900,1.292800
0.000010000,1.332800
0.000010100,1.412800
0.000010200,1.372800
0.000010300,1.452800
